id,tweet,label2,label
1039,watch: the disappearance of -year-old leanne green in dickson county more than years ago has frustrated law en,neutral,1
104,and also there are people dying who are not being counted beca,neutral,1
1040,"ultraviolet leds prove effective in eliminating coronavirus from surfaces and, potentially, air and water",neutral,1
1041,dear pub owner. lockdown (govt/holohan never described it as such). publican houses. your sincerely. that,neutral,1
1042,times article touting using oxygen therapy versus ventilators. many studies/article has come out saying,neutral,1
1043,a telling propaganda video via the media mouthpiece of the chinese communist party. tries to deflect gr,positive,2
1044,controversial vaccine studies: why is bill &amp; melinda gates foundation under fire from critics in india?,neutral,1
1045,record profits? coronavirus unlikely to disrupt profits for the rest of the year? so why do  curious green,positive,2
1046,mayor stimpson announced thousands of covid-19 test kits will be delivered to local hospitals.,neutral,1
1047,nine out of ten bites of food start from a seed and were doing our part to keep canadians fed. secan will donate $,neutral,1
1048,this one is super happy in lockdown . . . . ,positive,2
1049,"when sen. warren dropped out, i took my monthly $20 donation to her campaign &amp; started splitting it be",positive,2
105,theyre easy to maintain and im generally home more often than not. (even before quarantine),neutral,1
1050,wat happend?,neutral,1
1051,what new troubling news are you brewing for your followers today? you are good,negative,0
1052,radiation oncology market to witness steady growth based on rising occurrence of cancer and increasing per head e,neutral,1
1053,"the curve is flattening, lets remove restrictions now is like saying, hey i can see the ground getting closer, so",positive,2
1054,really ? it was a tough fight but who won the fight ?ohh gsp wonu have the answer,negative,0
1055,this is my quarantine theme song.,neutral,1
1056,"the letter, sent by senators elizabeth warren, richard blumenthal &amp; thomas carper to the wh can be read in its ent",positive,2
1057,a certain amount of employees or payment. even though apartments and residents will not e,negative,0
1058,"teen challenge co-founder given hydroxychloroquine, recovers from covid-19 at -years-old",neutral,1
1059,mcdonalds in china apologizes for no black people allowed sign during pandemic,neutral,1
1060,"to my last getaway before the pandemic set in. . this was only weeks ago, but it feels l",positive,2
1061,bruh- they just- and no one stopped them-,neutral,1
1062,"today people have died as a result of in the north to date, this is the largest daily increase of covi",neutral,1
1063,salesforce commerce cloud is the glass slipper for the clothing and fashion industry. but what makes it fit so smoo,neutral,1
1064,"piers morgan has an estimated net worth of £13m, earns £1.1m-a-year on itv and voted for the conservatives in the l",negative,0
1065,the problem is that if we come out of lock down too early and the virus returns? a second lock down t,negative,0
1066,"if u wont withdraw rs500 from ac, it will be taken back by govt, so go to bank &amp; withd",negative,0
1067,"in round of the , and had the only two point rides and they",neutral,1
1068,emergency physician erik blutinger is on the frontlines of the outbreak at mount sinai queens hospital,neutral,1
1069,if you wanna see fleshlight girls on quarantine radio,neutral,1
107,"follow our advice for whether youre allowed to walk your dog and the safest way to do so. as always, wash your han",positive,2
1070,are you a city press print subscriber? get free access to our e-edition on magzter. ensure your email address is up,neutral,1
1071,who is willing to be tribute in the corona games?,neutral,1
1072,"dear grandfather, we wanted to show gratitude &amp; love to you, your colleagues &amp; for putting",positive,2
1073,thank you key workers. i pray you stay blessed,positive,2
1074,meghan markle and her husband harry donated $112k of the money made from broadcasting their wedding to foo,neutral,1
1075,the two of u gonna hang out after quarantine like a couple of besties ,positive,2
1076,sources believe coronavirus outbreak originated in wuhan lab as part of chinas efforts to compete with us,neutral,1
1077,every time i think is done with me...they get me again,neutral,1
1078,pandemic life hacks are out of control,neutral,1
1079,"hydroxychloroquine alleviated symptoms, did not cure coronavirus in small study",neutral,1
108,well if nobody can suck my dick during quarantine.. i guess i will myself.,neutral,1
1080,"evolving? either a mask helps or it doesnt. if it does, wear one. evolving, my arse.",neutral,1
1081,yeah and what happened to italy? they happen to have the highest mortality rate and......health care for all..,positive,2
1082,"look at rod, just hatin",neutral,1
1083,the last time cassper had a hit was when aka slapped him...,neutral,1
1084,"in , ,000 people were hospitalized in the united states for the flu. less than ,000 have been hospitalize",negative,0
1085,because knows most of us are at home right now and looking for fun ways to stay occupied they are bri,positive,2
1086,"governors of , , , , , and say theyve formed a partn",neutral,1
1087,un envoy eects yemen cease-fire agreement very soon,neutral,1
1088,facebook begins warning users who liked coronavirus hoaxes,positive,2
1089,diy face mask ideas with filter pocket at home || stylish fabric face ma... via ,positive,2
109,"easy, look at your infection amd death numbers. wirhout testing you either ru",negative,0
1090,"hundreds of sikh communities are risking their lives to serve those affected by covid-19, based on their tradition",negative,0
1091,% of population has not been tested. yesterday trump stole massachusetts entire order to send it to russia. he so,positive,2
1092,anyone saying hes not never watched him play. even kobe laughed when this question was asked. of cour,positive,2
1093,important article by about how hard-hit people on odsp or ow like have been by the decimat,positive,2
1094,another friend diagnosed with today. something ive been reminded of: if you think you have adhd and look up,neutral,1
1095,happening in london as well lew.,positive,2
1096,the first is bad covid pneumonia and the second is really bad covid pneumonia.,negative,0
1097,"got a cut from popsi. this man sha took my hairline inside, thank god for the lockdown got time to grow.",positive,2
1098,sis you been my outta town roommate...,neutral,1
1099,covid-19 kills over africans,neutral,1
11,one of the conditions to re-open the economy needs to be adequate ppe for all healthcare workers.,neutral,1
110,someone break this down for me. i just had a hour day on the floor (and im going back tomorrow at :30am,neutral,1
1100,"am i the only one who sees an extension of lockdown beyond april ? family lets wake up, the writing is on the wa",positive,2
1101,"how i dress? dont be weird bro. and this the thing. im not these other battle rappers get in tune, youll find",neutral,1
1102,unpopular opinion: the romantic scenes with cloud and the girls feel forced and unnatural. theyre pushy and awkw,neutral,1
1103,aaannndds another month of this... just stay at home people. seriously.,positive,2
1104,practice gratitude. ,positive,2
1105,"a pandemic is not the time for marketers to stand down, per &amp; our own &amp; ",neutral,1
1106,"dude i am sorry to hear that. china is ,000 km away from italy and i am wondering how cc",negative,0
1107,exclusive video me &amp; on our having fun at his radio station,positive,2
1108,"we just dont recognize lifes most significant moments while theyre happening. back then i thought, well, ther",positive,2
1109,. he never crticised lockdown. . he asked for better implementation of lockdown . continous focus on te,neutral,1
111,thank you so much for this thoughtful discussion--a beautiful and necessary mom,positive,2
1110,frontline investigates how washington state  where the first known u.s. case of covid-19 was detected  and the tr,neutral,1
1111,quarantine thoughts: i cant wait to give my parents a massive hug when this is all over with.,positive,2
1112,the worst thing that will happen to a man right now is a heart break,negative,0
1113,it is unfathomable to be even discussing healthcare workers not having enough masks. this is negligent homicide. th,neutral,1
1114,"concerns about chinas influence dont end at the who, eerts say. theyre calling for sweeping reviews of interna",neutral,1
1115,"so if you are unsure where your current degree can take you, or how to further improve yourself to land that dream",positive,2
1116,i kind of view it this way - disadvantaged students that are really trying can generally pull together,positive,2
1117,how much did china pay you,neutral,1
1118,florida governor ron desantis put pressure on the law firm representing a media outlet seeking information during,neutral,1
1119,im a teacher. every day i pray that covid doesnt affect any of my students or their families. this is,negative,0
112,here is a snippet from my conversation with - the full convo will release later this week on episode ,neutral,1
1120,how did a -year-old magazine move to remote production overnight? which podcast host has the fanciest makeshif,neutral,1
1121,"hello guys, how has this lockdown been for all of us tedxunilorin lovers? for us, its been all indoors and trying",positive,2
1122,"the first statement issued about was on february , almost a full month after trump fo",negative,0
1123,dig into the past relationship between china and director general. china spent a bunch of money in ethiopia.,neutral,1
1124,this corona virus outbreak has amplified my germaphobia tenfold,neutral,1
1125,"enjoy your weekend with your beloved family, is now available to stream on from today. ",positive,2
1126,iowa gov. reynolds says packing plant leaders assured her they were providing masks and face shields to employees.,neutral,1
1127,i did an interview with mashable about creativity in the age of the quarantine,neutral,1
1128,but we already have terms for those. they are upper class and lower class or,negative,0
1129,thank you for this very helpful and organised schedule ,positive,2
113,"on jan. : asked whether there were any concerns about the coronavirus spreading to the u.s., president trump sai",positive,2
1130,we will allow delivery by shops and outlets to do continued delivery till am of th of april .,neutral,1
1131,during covid-19 as you can not release potm cards replace them with flashback potm,neutral,1
1132,sens. grassley and cassidy: an ounce of coronavirus prevention is worth a pound of cure,neutral,1
1133,military and civilian defence personnel watch the video with the sound on to hear messages,neutral,1
1134,the coronavirus business interruption scheme . small businesses can access up to £5m funding. find out more.,negative,0
1135,russia has postponed its annual may military parade marking nazi germanys defeat in wwii due to the coronavirus,neutral,1
1136,"the number of canadians who have died because of the covid-19 pandemic is now over ,200  more than double the low",negative,0
1137,officer micheal lee was the nd dallas police officer with a confirmed test. hes now back at work! great,positive,2
1138,"youre in cincinnati, right? im hours away, i could still maintain social distancing",neutral,1
1139,"happy to say everyone in my street clappers lane (yes, really) were out, er clapping",positive,2
114,what a luck! ive searched everywhere but this never appeared! my sleepy eyes suddenly awake when this pic pop up!!,positive,2
1140,me and my friends seeing each other for the first once quarantine ends:,neutral,1
1141,"cabin fever cures via classic matches and moments, best of their era debates, podcasts, insightful ar",positive,2
1142,this corona is draggin it,neutral,1
1143,out now: read the latest (and seventh) installment of our special issue: inequality during the coronavirus pandemic,positive,2
1144,aca needed greater participation to attract new providers! seems other na,positive,2
1145,read this to see why first-time buyers find fha so appealing.,neutral,1
1146,i am looking to adopt pets...a kitten and a house dog after this pandemic is over. those two will be my babies,neutral,1
1147,"given that americans now constitute /5 of the worlds death toll, even though it consists of /24 of the worlds p",neutral,1
1148,the way we already have like almost half of the song with only snippets in years,positive,2
1149,the says alcohol compromises the bodys immune system and increases the risk of adverse health outcomes. ther,negative,0
115,quarantine tings  look at my pretty friends!!!,positive,2
1150,this was the local conservative result for the election. how many of the people who live on my street voted fo,negative,0
1151,"we are proud to broadcast the historic one world global special ft. , ",positive,2
1152,its part of an ongoing nationwide wave of strikes among low-wage workers responding to the coronavirus,negative,0
1153,"its bad all over. in ireland, numbers on pandemic unemployment (pup) and temporary wage",negative,0
1154,"there are probably more white folks not abiding by quarantine rules than any other group, but as usual it is easier",negative,0
1155,yellow fever vaccine can be given to children as young as months if they are living in or traveling to endemic ar,neutral,1
1156,ive been fine all lockdown but i can now officially say im bored of everything. cant even watch my favourite show anymore,positive,2
1157,we clap and stick tap all those nhs and key workers! thank you from everyone at the steelkings!,positive,2
1158,"no, we dont routinely do quantitative hbsag levels. th",positive,2
1159,all ive done through lockdown is cry ?? a dont know how theres any water even left in me,negative,0
116,back to the upper ranges once again .. quite disconcerting.. deaths at ~8k,neutral,1
1160,"as the uk extends its lockdown, there are those whose selflessness is bringing hope and help to people",positive,2
1161,i already know coachella and other major music festivals arent happening this fall,neutral,1
1162,well thanks to covid19 possibly my one chance to see in concert with was this weekend.,positive,2
1163,its happening. first quarter fundraising for south carolina senate race: lindsey graham: $5.6 million jaime harri,positive,2
1164,hello my name is richard and i run my own clothing brand. all designs are made by me on my ipad. covid has h,positive,2
1165,i made my own mask. you can also buy masks and gloves on amazon.,positive,2
1166,not shocking  doesnt think rules apply to her. she is using the white house to profit million d,positive,2
1167,"a quarter of scottish deaths linked to coronavirus have occurred in care homes, figures suggest.",positive,2
1168,abandoning societys most vulnerable: competing rights and covid-19 via,negative,0
1169,"police in waterloo ontario can now access your medical records when they approach you, to see if youve tested posi",negative,0
117,did you know the easiest way to a healthy life is to drink more water? . . . weight,neutral,1
1170,"i want to disappear. anyway, nobody would notice that im not here anymore",positive,2
1171,pm dr rowley says he hopes the police have a covid19 party radar to deal with these harden people bent on mischie,neutral,1
1172,"first off, thats president trump to you. secondly, this is what you choose to harp on in the midst of said pandemi",positive,2
1173,my whats yours? . learning whats normal? (nearly everything) when to ask for help (alw,neutral,1
1174,"healing stream engaged. read the courageous story of weiwei, a chinese doctor inspired by mercy in the fight again",neutral,1
1175,game of hide-and-seek. been here for minutes already...,neutral,1
1176,angela merkel gave one of the clearest elanations of how coronavirus transmission works ,neutral,1
1177,new case today. more recoveries. that means over % of those who had have now fully recovered. j,positive,2
1178,just seen your hit piece about the care home issue. if you wanted negative comments about the gove then,neutral,1
1179,"firstly, i want to thank my family, my friends, all my coaches. this is a proud moment for me . secondly, well don",neutral,1
118,"congratulations to the current generation of law students, the last generation who will ever learn about the coronation of edward vii",neutral,1
1180,the chief provincial public health officer has issued new public health orders that take effect on april and rem,neutral,1
1181,im an aries. a dare devil by nature. i have to convince myself to not break quarantine for dick. i hate it here.,negative,0
1182,"authorities in the restrictive autonomous region of detained t.dorje, who lived in a village nr mt.",neutral,1
1183,just dont touch your face after touching mail and then wash your hands. i treat all objects outside of my hous,negative,0
1184,extending this lockdown is going to give me a mental breakdown.,neutral,1
1185,facebook sits at the epicentre of coronavirus misinformation according to one independent study,neutral,1
1186,the fbi just warned u.s. businesses about a very disturbing risk | via,negative,0
1187,"overall this month hasnt been that kind to me, especially this past week. although the past couple of days have be",positive,2
1188,"unacceptable!! usaa is confiscating the emergency $1,200 coronavirus checks from veterans and military families wh",neutral,1
1189,oh i thought you said it was to go to chinese restaurants in chinatown and shake hands with everybod,positive,2
119,the wheres trump quarantine game... seriously cant wait until tomorrow. its my parol for picking up essentials,neutral,1
1190,"subscribe now . adult content , fetish content . milf/house wife at work. twerk video",positive,2
1191,you know that chinatown is not in china right? you also know that this,neutral,1
1192,- desperate to cover up his ignorant mismanagement of covid19. cure t,negative,0
1193,"spread this video jaw dropped, best gems unhuman plays of mj:",positive,2
1194,it will be interesting to watch adoption rates of virus tracking apps globally. attitudes towards,positive,2
1195,yeah idk whatll happen but i just rewatched and and found myself rolling my eyes at kats obliviousness several times,neutral,1
1196,coronavirus: nhs contact tracing app to target % of smartphone users - bbc news,positive,2
1197,"anti-vaping policies: instead of addressing concerns publicly, fda surreptitiously admits to a single news source (",negative,0
1198,nice infographic on what mutations in sars-cov-2:means could mean for vaccine development via  spoile,positive,2
1199,") work with country officials to preserve the life of people like mr. razo, whos one of many in custody without a",positive,2
12,life is about choices - people who dont feel safe can stay home and watch on,positive,2
120,i dont want to be quarantined with my son anymore.,neutral,1
1200,quarantine day unknown: i started doing snapchat streaks,neutral,1
1201,the sort of things this % death cult would do? wellfor instancestage a massive in-person protest in michigan,neutral,1
1202,cats are having a tough time in lockdown! thanks to humans!,neutral,1
1203,coronavirus latest:  new jersey has more covid-19 victims than residents killed in wwi. ,negative,0
1204,"he wrapped her leg around his hip, and she pressed against him, in an erotic tango against a wall.",neutral,1
1205,appeal for help from the chief justice of the supreme court,positive,2
1206,niggas really yelling out fuck quarantine outside,negative,0
1207,can this covid shit just go away forever? i miss so much.,neutral,1
1208,"due to the covid-19 outbreak things are presently on hold, but we do intend to run the event when it is safe and pr",positive,2
1209,i never thought i would say anything like this but our conservative provincial government is doing a good job. wel,positive,2
121,because chinese government took immediate and,neutral,1
1210,dusk-to-dawn curfew increased cleanliness and economic measures to mitigate crisis in senegal  in pic,neutral,1
1211,"for many vulnerable groups, including women at risk of domestic violence, home is not a safe place. read",negative,0
1212,why is the tory government behind the curve on absolutely everything with regard to the pandemic? how many,neutral,1
1213,real criminals are being turned loose from prisons but in md if you dont wear a face mask you could end up in pris,negative,0
1214,video goes out to ! lonnie jones 18 takes the pass from colin sharkey 19 and goes low to high for the o,negative,0
1215,here you go: golftec wisconsin in mequon launches virtual lessons amid covid-19 stay-at-home orders,neutral,1
1216,how who became chinas accomplice in the coronavirus pandemic,neutral,1
1217,"q: do you believe that the official count of deaths caused by coronavirus in the united states is accurate? no,",neutral,1
1218,ladies &amp; gentlemen let me introduce the ! screw on side filters/ modular design. $5 of every mask goes to,negative,0
1219,ivanka trump defies social distancing to celebrate passover at golf club,neutral,1
122,a year ago today. not a great finish but what an event. hopefully this years rescheduled race happens and if you,positive,2
1220,reminder to wash your hands... your thoughts -,neutral,1
1221,new: uk extends coronavirus lockdown for another three weeks until may .,neutral,1
1222,i think this quarantine shit is depressing me.,negative,0
1223,my employers might be on your time please hire me after lockdown i hold a national diploma in admin managemen,positive,2
1224,how im trynna be after quarantine,neutral,1
1225,worlds first cards are coming to chile  plans to issue the worlds first immunity card,neutral,1
1226,"assemble, and use your own judgement. authorities are in the wrong, and will face law",negative,0
1227,"join elected officials, advocates and policymakers in an upcoming webinar to discuss the emergency action plan: wha",positive,2
1228,"cc: im writing you, kayleigh since i heard trump doesnt read tweets to him...i guess he cant",neutral,1
1229,tweeting a clip from gintama about zenzou on the later moments. this might spoil you if you havent watched it yet,negative,0
123,todd chrisley says he will donate plasma to help fellow coronavirus patients,neutral,1
1230,"heres my article on division prospect ibrahim wattara, a senior shooting guard from the bronx whose college purs",neutral,1
1231,breaking: early peek at data on $gild drug suggests patients are responding to treatment,negative,0
1232,crowded open floorplans are never coming back. these bullpens that cram game devs elbow to elbow are finally dead. killed by covid19.,negative,0
1233,"while weve been focused on finding covid-19 solutions, the trump administration epa has quietly rolled back rules",negative,0
1234,"if our leadership wont set the example / then replace them, fine them, lock em up, send them to chin",positive,2
1235,"this quote is popping up frequently amidst this crisis. if you know the original source, i would love to give credi",positive,2
1236,"adam lambert, kesha and more set for glaad event highlighting lgbtq response to covid-19 crisis via",positive,2
1237,shoutout san antonio. improved respirator alternatives and mobile ppe decontaminating units hopefully will be enoug,positive,2
1238,stay home ... do as the dog says,neutral,1
1239,ah the queen has replied we love you thank u for making lockdown so much better ,positive,2
124,(trigger warning: physical abuse) my abusive mother worshipped her abusive father when she start,negative,0
1240,fck you coronavirus. merica.,neutral,1
1241,"i sew you had to draw the color of your second belt, sorry but its done, not even corona can infect and kill that, its yours!",negative,0
1242,attention to post-covid predictions: companies that traffic in digital services and e-commerce will make immedia,neutral,1
1243,covid-19 research updates: chinese study reveals that hypokalemia present in almost all covid-19 patients - thailan,neutral,1
1244,"yesterday, of sent a letter to outlining steps to co",negative,0
1245,"by staying at home , (i mean staying staying not staying &amp; frequenting shopping) we can save many lives ",positive,2
1246,"the only line that matters, the lack of a control arm in the study could make inter",neutral,1
1247,maybe these models were made in china.,neutral,1
1248,changes everything this election. register now. its your voter insurance! online at,neutral,1
1249,this happened to me except he chatted with my roommate and told me saw you in her profile picture and now offense,negative,0
125,"turtle is one of the backstreet boys,",neutral,1
1250,"in zig zag when lyrikal said ah doe wa go home, ah doe wa go home that right there is the energy i saving for",negative,0
1251,truth and fiction coronavirus | gregg braden via,positive,2
1252,"so, its finally happened. that thing you were afraid of. somethings come from overseas, and taken your jobs, mad",negative,0
1253,"steve mnuchin couldnt last a day on $1,200. he owns a $12.6 million house in d.c., a $27.5 million duplex in manha",neutral,1
1254,"lying is the biggest turn off. little lie, big lie. shits clipped. its a no for me.",negative,0
1255,the news is heartbreaking. people losing their parents or grandparents to coronavirus. i cant fathom how hurtful i,negative,0
1256,fam... nobody stopped,neutral,1
1257,please stay home and fight on . go to usc fight on,negative,0
1258,trump got his nuts clipped!!,positive,2
1259,care workers received a % pay rise in scotland. the brit union gave them a badge and withheld their ppe better together???,positive,2
126,social distancing destroys the immune system.,negative,0
1260,dude i was just chilling lying in my bed when i suddenly started crying??????? whats quarantine doing to me,negative,0
1261,"this week, i received notes from many talented people impacted by covid-19 layoffs. i am creating a public list of",positive,2
1262,tonights lockdown lullaby: everything that rises must converge. written in hope rather than faith about three year,neutral,1
1263,foxnews: the sources say the world health organization was complicit from the beginning helping china,neutral,1
1264,"strange that this implies china is a separate entity from the rest of the world, despite being just",neutral,1
1265,"new york city has a big bite out of our apple, ,477 dead husbands and wives, moms and pops, grandmas and grandpas",negative,0
1266,we had people on the ground in wuhan... trump recalled them just months before the outbreak.,neutral,1
1267,tested mf positive for being the best thing thatll happen to you,positive,2
1268,"i think is doing a fantastic job fronting these daily pressers. clear, precise and honest. calm under",positive,2
1269,isnt this the woman that wasnt even able to manage her own entourage properly which is why she dropped out? if sh,neutral,1
127,dr. oz elains significance of south dakotas hydroxychloroquine drug trial q !!hs1jq13jv6 apr - ,positive,2
1270,read all about how and helped lift the spirits of nurses on frontlines of :,neutral,1
1271,its during a pandemic and yall still flexing money on a tl like it even matters... im sick of this place.,positive,2
1272,heres where we are: gop sos calls for mail-in primary because of covid-19 potus wails about mythical mail-in voter,negative,0
1273,"americans overwhelmingly trust the cdc on covid-19. pres. trump, meanwhile, consistently gets low grades on trust.",positive,2
1274,so i got new lockdown rules to help me keep on track by . theyve really helped me feel subby and incredi,neutral,1
1275,"can someone please elain how a working person can look at someone like donald trump who has lied, cheated, and bu",negative,0
1276,"isolation nation is back! wil be joined by comedians debra mcgrath, and clinical psycho",neutral,1
1277,"states urgently need money from federal government for small business, healthcare workers &amp; food security. we urge",positive,2
1278,"patients so far recovered &amp; discharged in uganda! , , guys at our",positive,2
1279,"if im the government with the low compliance of people to this lockdown directive , i wil",neutral,1
128,extending call center hours repurposing state employees for support new website to file for ui &amp; new,positive,2
1280,feeding the frontline healthcare workers with adana turkish grill via ,positive,2
1281,"today i turned and we have covid19. years ago i turned , and we had ashes from the icelandic volcano. ",neutral,1
1282,the nhs is still very much open for business (covid and non-covid19 related). but a&amp;e visits are down by a third (h,negative,0
1283,may god protect all health workers doing everything possible to fight covid-19,negative,0
1284,remember what happened the last time you did this.........,neutral,1
1285,they are trying to take advantage of the pandemic... they are asking our clients to make an impossible choice: bet,neutral,1
1286,"nigerian government, in its enforcement of covid social-distancing, has killed more people (innocent citizens) than",negative,0
1287,what do you do in quarantine when you give up orders? doing roman letter bags)) ,neutral,1
1288,thank you to who stopped by our head office a couple of weeks ago with our first-ever drive through,positive,2
1289,"well why have sweden, japan, czech republic, mexico etc go",positive,2
129,california farmer plows under lettuce after coronavirus shutters restaurant market,neutral,1
1290,bill gates bought million shares of crown castle. the largest provider of shared u.s. communications infrastruc,neutral,1
1291,"but, but...china!",neutral,1
1292,"as one who has been told to self-isolate until there is a vaccine, i wonder why so many americans simply dont care",neutral,1
1293,congress has left the american citizens and businesses out there to fend for themselves during a pandemic.,neutral,1
1294,sands: covid-19 deaths are % more likely to have underlying illness in the bahamas,neutral,1
1295,today is birthday and instead of crushin cans and throwing stacks at dancers we fuckin quarantined. her,neutral,1
1296,this week four hospitals were forced to lay off s of workers. hospitals and local governments on the fr,positive,2
1297,"yeah, what happened to the we should always believe her movement? where are all those women who were so",neutral,1
1298,china dont care about us eect for our resources hunny. get that through yalls heads.,positive,2
1299,his upper lip mole ,neutral,1
13,"peter, it is not risky. swedens performance is similar to countries with lockdowns. second, it is",neutral,1
130,millennial culture is getting over your ex in a week because youre a bad bitch but laying awake at night wonderi,negative,0
1300,drumchapel united are a local club eanding all the time. please donate or share for us to bring the dewar to th,positive,2
1301,covid19 is the only thing that is going to wake these folks up! a big dose right in the face,neutral,1
1302,as  says: asic must not hesitate to crack down on anyone flouting the law! ,neutral,1
1303,absolute disaster. why anyone wants anything from china is beyond me! ,neutral,1
1304,ab to say fuck this quarantine shit and watch wifey cream on some big black dick tonight,negative,0
1305,like i can still turn everything in by the hard deadline of june st. ima just basically give myself,positive,2
1306,the snow stopped and out came the sun.,neutral,1
1307,"from the : be wary of unsolicited emails offering info, supplies, or treatment for covid-19 or reque",neutral,1
1308,get equipped with full danger,neutral,1
1309,+covid pregnant women at nyc hospital universally screened: % = asymptomatic % = symptoms,neutral,1
131,"when a major vax pusher is whistling caution and being ignored, this shows how seriously unsafe these driv",negative,0
1310,"one thing africa is definitely known for is its advanced medical care, coverage of all people, univ",positive,2
1311,"they are keeping me sane in quarantine sag harbor, new york",neutral,1
1312,"no stories on my end, but my wife mentioned how she wished there was a horror film that took place exc",negative,0
1313,"all i know na say million boys they scatter street,money no dey for account,we no see sars rear lig",neutral,1
1314,rayban sunglasses specials are only $ 9! just one day!,neutral,1
1315,"one good thing has come out of this pandemic, the death of debt collectors!",positive,2
1316,trump just cut all funding to the world health organization -- in the middle of the pandemic! now this mas,positive,2
1317,gaga gonna perform stypid love and be like.... at this pandemic rn all we need is each others stupid love or sumn l,positive,2
1318,. &amp; are offering a plan to use signals from more than billion smartphones to help stem the spread,positive,2
1319,the technology : silicon valley companies are rolling out coronavirus stimulus check services,neutral,1
132,"volunteers to support supply of masks for covid-19, fans follow his lead and participate",positive,2
1320,do you struggle to understand the face mask instructions? youtube has masks made with foil &amp; tape. bilt has easy,negative,0
1321,"planned or not its here and its going to be here tomorrow hence the hashtag culling the population, g,",neutral,1
1322,", please get usda to allow people with disabilities to use snap and wic online now so they dont have t",positive,2
1323,report: british gov. to rethink china relationship after it downplayed covid-19.,neutral,1
1324,any politician want to attack biopharma? $gild,negative,0
1325,stop acting like a spoiled brat!! only you are to blame for this pandemic!! you were warned yrs,neutral,1
1326,it might mean that the main outbreaks have been in the big cities where the % of bame is much h,neutral,1
1327,mysterious mr. enter is a far-right propagandist. flat and simple. he joined the choir of his colleagues to demand:,positive,2
1328,can the trump administration prevent asylum-seeking aliens from entering the us during covid-19? by,neutral,1
1329,chloroquine is far more dangerous than hydroxy,positive,2
133,/15/20: members of the coronavirus task force hold a press briefing via,neutral,1
